user_id,exercise_id,rating
user_0000,25,4.0
user_0000,30,4.1
user_0000,11,4.2
user_0000,41,4.0
user_0000,17,5.0
user_0000,5,4.7
user_0000,49,3.8
user_0000,15,3.5
user_0000,8,4.9
user_0000,23,3.8
user_0000,1,2.7
user_0000,16,2.0
user_0000,33,3.9
user_0000,20,3.7
user_0000,27,2.4
user_0001,43,1.9
user_0001,28,2.9
user_0001,29,1.6
user_0001,31,1.9
user_0001,11,2.5
user_0001,13,3.0
user_0001,18,1.7
user_0001,33,3.3
user_0001,9,3.5
user_0001,49,2.8
user_0001,1,1.1
user_0001,42,3.4
user_0001,16,2.2
user_0001,8,1.0
user_0001,10,1.6
user_0002,14,3.3
user_0002,19,2.4
user_0002,44,3.3
user_0002,11,4.4
user_0002,43,3.1
user_0002,29,3.9
user_0002,40,3.1
user_0002,37,1.4
user_0002,45,3.2
user_0002,23,1.5
user_0002,50,3.5
user_0002,24,3.4
user_0002,8,2.0
user_0002,18,2.5
user_0002,49,3.3
user_0003,9,5.0
user_0003,26,1.6
user_0003,42,3.7
user_0003,36,3.9
user_0003,16,2.3
user_0003,47,1.8
user_0003,45,3.6
user_0003,11,2.2
user_0003,2,2.0
user_0003,39,3.3
user_0003,49,3.3
user_0003,32,2.1
user_0003,28,1.9
user_0003,1,1.9
user_0003,13,4.4
user_0004,32,2.0
user_0004,50,3.6
user_0004,36,3.5
user_0004,48,1.0
user_0004,24,2.2
user_0004,5,2.5
user_0004,25,3.8
user_0004,28,2.1
user_0004,22,2.5
user_0004,30,1.1
user_0004,0,5.0
user_0004,9,4.0
user_0004,49,3.4
user_0004,16,2.3
user_0004,17,4.0
user_0005,13,4.8
user_0005,18,2.6
user_0005,42,2.7
user_0005,36,3.7
user_0005,12,5.0
user_0005,5,2.7
user_0005,11,4.2
user_0005,46,2.4
user_0005,28,3.2
user_0005,26,5.0
user_0005,29,4.7
user_0005,17,2.2
user_0005,39,2.8
user_0005,4,3.7
user_0005,27,4.6
user_0006,27,3.3
user_0006,3,4.9
user_0006,40,3.2
user_0006,10,1.9
user_0006,34,2.7
user_0006,41,2.6
user_0006,28,2.6
user_0006,37,2.3
user_0006,33,4.6
